familyLanguage	nc_sim	nc_sim_credI	nc_ident	nc_ident_credI	feat_sim	feat_sim_credI	feat_ident	feat_ident_credI
uralic_livonian	0.743	[ -0.032 ,  1.632 ]	0.129	[ -0.445 ,  0.592 ]	0.743	[ -0.032 ,  1.632 ]	0.129	[ -0.445 ,  0.592 ]
uralic_lule.sami	0.526	[ -0.354 ,  1.404 ]	0.297	[ -0.243 ,  0.791 ]	0.526	[ -0.354 ,  1.404 ]	0.297	[ -0.243 ,  0.791 ]
uralic_meadow.mari	0.088	[ -0.895 ,  0.995 ]	0.443	[ -0.018 ,  0.994 ]	0.088	[ -0.895 ,  0.995 ]	0.443	[ -0.018 ,  0.994 ]
uralic_moksha	0.417	[ -0.492 ,  1.342 ]	0.29	[ -0.227 ,  0.801 ]	0.417	[ -0.492 ,  1.342 ]	0.29	[ -0.227 ,  0.801 ]
uralic_nganasan	-0.094	[ -1.109 ,  0.766 ]	0.606	[ 0.123 ,  1.207 ]	-0.094	[ -1.109 ,  0.766 ]	0.606	[ 0.123 ,  1.207 ]
uralic_north.karelian	0.47	[ -0.395 ,  1.379 ]	0.389	[ -0.075 ,  0.905 ]	0.47	[ -0.395 ,  1.379 ]	0.389	[ -0.075 ,  0.905 ]
uralic_northern.khanty	0.184	[ -0.758 ,  1.091 ]	0.304	[ -0.233 ,  0.8 ]	0.184	[ -0.758 ,  1.091 ]	0.304	[ -0.233 ,  0.8 ]
uralic_northern.mansi	0.048	[ -1.005 ,  0.947 ]	0.354	[ -0.202 ,  0.861 ]	0.048	[ -1.005 ,  0.947 ]	0.354	[ -0.202 ,  0.861 ]
uralic_northern.sami	1.245	[ 0.433 ,  2.198 ]	0.243	[ -0.327 ,  0.795 ]	1.245	[ 0.433 ,  2.198 ]	0.243	[ -0.327 ,  0.795 ]
uralic_northern.selkup	-0.188	[ -1.145 ,  0.699 ]	0.437	[ -0.092 ,  0.976 ]	-0.188	[ -1.145 ,  0.699 ]	0.437	[ -0.092 ,  0.976 ]
uralic_olonets.karelian	0.646	[ -0.219 ,  1.637 ]	0.339	[ -0.168 ,  0.89 ]	0.646	[ -0.219 ,  1.637 ]	0.339	[ -0.168 ,  0.89 ]
uralic_skolt.sami	0.723	[ -0.243 ,  1.688 ]	0.139	[ -0.601 ,  0.691 ]	0.723	[ -0.243 ,  1.688 ]	0.139	[ -0.601 ,  0.691 ]
uralic_southern.sami	1.401	[ 0.59 ,  2.317 ]	0.178	[ -0.415 ,  0.711 ]	1.401	[ 0.59 ,  2.317 ]	0.178	[ -0.415 ,  0.711 ]
uralic_tundra.nenets	0.29	[ -0.54 ,  1.133 ]	0.465	[ 0.027 ,  1.02 ]	0.29	[ -0.54 ,  1.133 ]	0.465	[ 0.027 ,  1.02 ]
uralic_udmurt	0.018	[ -0.956 ,  0.883 ]	0.384	[ -0.106 ,  0.896 ]	0.018	[ -0.956 ,  0.883 ]	0.384	[ -0.106 ,  0.896 ]
uralic_veps	0.334	[ -0.565 ,  1.206 ]	0.319	[ -0.192 ,  0.819 ]	0.334	[ -0.565 ,  1.206 ]	0.319	[ -0.192 ,  0.819 ]
yeniseian_ket	-0.008	[ -1.056 ,  0.946 ]	0.34	[ -0.204 ,  0.881 ]	-0.008	[ -1.056 ,  0.946 ]	0.34	[ -0.204 ,  0.881 ]
yukaghir_northern.yukaghir	0.277	[ -0.648 ,  1.174 ]	0.398	[ -0.089 ,  0.953 ]	0.277	[ -0.648 ,  1.174 ]	0.398	[ -0.089 ,  0.953 ]
yukaghir_southern.yukaghir	0.056	[ -0.969 ,  1.005 ]	0.38	[ -0.126 ,  0.913 ]	0.056	[ -0.969 ,  1.005 ]	0.38	[ -0.126 ,  0.913 ]
